Ped,Bike,Bike Loop,School Area,1st St,E 2nd St,5th St,8th St,B St,F St,J St N,North Sycamore,North Anderson,North Anderson,East Covell,Olive Drive,Pole Line,West Russell,Russell,Downtown,University Rice,Old North,Old East,A St,DATE,TIME,REPORT,STREET 1,STREET 2,DISTANCE,DIRECTION,PRIMARY CAUSE,COLLISION TYPE,INJURY,Bike,5 Year Bike,5 Year  Ped,Ped,FATAL,TYPE OF COLLISION,VEHICLE 1,VEHICLE 2,INVOLVED WITH,OBJECT HIT,PEDESTRIAN ACTION,TRAFFIC CONTROL DEVICES,NOTES
,,1,1,,,,,,,,,,1,,,,,,,,,,,4/15/2005,7:34 AM,05-2232,Anderson Road,Villanova Drive,0',In Int.,VC 21801.A,Head-On,1,,,,,,,Passenger Car,Other Bus,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,1,,1,,,4/15/2005,8:32 AM,05-2233,G Street,Sixth Street,25',North,VC 22517,Other,1,1.0,,,,,,Pickup Truck,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,4/15/2005,,05-2245,Russell Blvd,Sycamore Lane,126',East,VC .,Other,,,,,,,,Not Stated,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,1,1,,,,,,,,,,,,,,,,,,,,,,4/16/2005,1:30 AM,05-2257,Drexel Drive,L Street,300',East,VC 22107,Other,1,1.0,,,,,,Bicycle,Passenger Car,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,4/17/2005,,05-2318,Second Street,C Street,61',West,VC .,Other,,,,,,,,Passenger Car,Not Stated,Other Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,4/16/2005,,05-2329,Russell Blvd,Sycamore Lane,150',East,VC .,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,1,1,,,,,,,,,,1,,,,,,,,,,,4/18/2005,6:26 PM,05-2333,Anderson Road,Villanova Drive,0',In Int.,VC 21801.A,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,4/18/2005,7:13 PM,05-2337,Fifth Street,E Street,0',In Int.,VC .,Broadside,,,,,,,,Pickup Truck,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,1,,,,,1,,,,,,,,,,1,,,,,4/15/2005,10:30 PM,05-2359,F Street,First Street,0',In Int.,VC .,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,Crossing Not In Crosswalk,,
,,,,,,,,,1,,,,,,,,,,1,,,,,4/19/2005,8:15 PM,05-2361,Second Street,F Street,94',East,VC 22350,Other,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,4/20/2005,11:35 AM,05-2371,Russell Blvd,Arthur Street,55',West,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,4/20/2005,3:35 PM,05-2376,Richards Blvd,Research Park Drive,100',North,VC 22350,Rear-End,,,,,,,,Pickup Truck,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,4/20/2005,,05-2377,Drew Avenue,Galileo Court,100',North,VC .,Rear-End,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,1,,,,,,,,,,4/24/2005,3:51 PM,05-2461,1550 E Covell Blvd,Null,0',In Int.,VC ,Hit Object,,,,,,,,Emergency Vehicle,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,4/26/2005,12:07 PM,05-2501,Russell Blvd,Oak Avenue,0',In Int.,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,4/26/2005,6:00 PM,05-2531,Russell Blvd,College Park,50',West,VC .,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,Crossing In Crosswalk At Intersection,,
,,,,,,,,,,,,,,,,,,,,,,1,,4/28/2005,1:35 AM,05-2538,L Street,Third Street,150',North,VC .,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,1,,,,,,,,,4/28/2005,7:45 AM,05-2544,Richards Blvd,Olive Drive,40',North,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,1,,,,,4/28/2005,5:15 PM,05-2567,Third Street,E Street,20',West,VC 22517,Other,1,1.0,,,,,,Bicycle,Passenger Car,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,4/29/2005,2:12 AM,05-2573,Richards Blvd,Interstate 80 Eb,0',In Int.,VC 22350,Broadside,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,1,,,,,,,,,,,4/29/2005,12:30 PM,05-2583,Anderson Road,Russell Blvd,0',In Int.,VC 22106,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,4/29/2005,4:27 PM,05-2594,Russell Blvd,College Park,130',East,VC 22350,Rear-End,3,,,,,,,Passenger Car,Other,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,4/29/2005,6:46 PM,05-2597,Third Street,D Street,0',In Int.,VC 21802.A,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,5/2/2005,11:27 AM,05-2650,Interstate 80 Wb,On Ramp,0',In Int.,VC 21453.A,Sideswipe,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,5/2/2005,12:15 PM,05-2651,310 E St,Null,0',In Int.,VC ,Other,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,4/30/2005,10:00 AM,05-2719,Chiles Road,Mace Blvd,0',In Int.,VC .,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,1,,,,,,,,,,,,,1,,1,,,5/4/2005,2:13 PM,05-2722,G Street,Fifth Street,0',In Int.,VC 22107,Other,1,1.0,,,,,,Other,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,,,1,,,,,,,,,,,,,,,,,,,5/4/2005,5:14 PM,05-2725,Mace Blvd,Second Street,0',In Int.,VC 23152.A,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,5/4/2005,5:45 PM,05-2728,W Covell Blvd,Oak Avenue,0',In Int.,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,5/4/2005,7:35 PM,05-2729,Cowell Blvd,Research Park Drive (E),30',West,VC 22350,Rear-End,2,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,5/5/2005,8:02 AM,05-2736,W Covell Blvd,Sycamore Lane,285',West,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
1,,,,,,1,,,,,,,,,,,,,,1,,,1,5/5/2005,11:15 AM,05-2740,A Street,Russell Blvd,250',North,VC 21804.A,Vehicle - Pedestrian,1,,,,1.0,,,Pedestrian,Other,Pedestrian,,Not In Road,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,5/5/2005,4:39 PM,05-2747,Fifth Street,C Street,15',West,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,1,,1,,,,,,,,,,,,,,,5/7/2005,12:05 AM,05-2783,F Street,E Eighth Street,20',North,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,5/8/2005,8:31 AM,05-2818,Richards Blvd,Interstate 80 Eb,0',In Int.,VC 21453.A,Broadside,2,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,1,,,,,,,,,,,,,,,1,,,,,5/8/2005,3:03 PM,05-2821,D Street,First Street,0',In Int.,VC .,Other,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,1,,,,,,,,,,5/9/2005,12:05 PM,05-2832,E Covell Blvd,L Street,600',East,VC 21804.A,Broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,5/10/2005,12:40 AM,05-2871,Interstate 80 Wb,Mace Blvd,0',In Int.,VC 23152.A,Head-On,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,1,,1,,,,,,,,,,,1,1,1,,,5/10/2005,8:15 AM,05-2875,Fifth Street,B Street,0',In Int.,VC 22350,Rear-End,,,,,,,,Passenger Car,Pickup Truck,Other Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,1,,,,,,1,,,,,,,,,,,5/10/2005,1:33 PM,05-2879,Anderson Road,W Eighth Street,150',North,VC 22350,Rear-End,,,,,,,,Passenger Car,Pickup Truck,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,1,,,,,,,,,,,5/13/2005,1:36 AM,05-2928,Russell Blvd,Anderson Road,0',In Int.,VC .,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,1,,,,,,,,,,,,,,,1,,,,,5/15/2005,3:00 PM,05-2957,First Street,D Street,0',In Int.,VC ,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,Crossing In Crosswalk At Intersection,,
,,,,,,,,,1,,,,,,,,,,1,,,,,5/14/2005,9:45 AM,05-2981,F Street,Fourth Street,0',In Int.,VC 21802.A,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,1,,,,,,,,,,,,,,,,1,5/17/2005,10:50 AM,05-3021,E Eighth Street,A Street,20',East,VC 22350,Rear-End,2,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,1,,,,,,,,,,,,,,,1,,,,,5/17/2005,2:08 PM,05-3023,First Street,D Street,0',In Int.,VC 21804.A,Other,1,1.0,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,,,1,,,,,,,,,,,,,,,,,,,5/17/2005,6:05 PM,05-3025,Mace Blvd,Second Street,0',In Int.,VC 21453.A,Head-On,3,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,1,,,,,,,,,5/18/2005,1:57 PM,05-3038,Richards Blvd,Olive Drive,400',South,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
1,,,,,,,,,,,,,,,,,,,1,,,,,5/18/2005,2:14 PM,05-3039,221 F St,Null,0',In Int.,VC 21952,Other,1,,,,1.0,,,Passenger Car,Pedestrian,Pedestrian,,Not In Road,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,5/18/2005,3:57 PM,05-3043,Fifth Street,E Street,0',In Int.,VC 21801.A,Head-On,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,5/19/2005,3:30 PM,05-3057,Second Street,G Street,0',In Int.,VC .,Rear-End,,,,,,,,Passenger Car,Truck,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,1,,,,,,1,,,,,,,,,,,5/20/2005,7:06 AM,05-3086,Anderson Road,W Eighth Street,0',In Int.,VC 21453.A,Broadside,2,,,,,,,Pickup Truck,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,1,,,,5/20/2005,10:00 PM,05-3101,University Avenue,Third Street,0',In Int.,VC 22350,Sideswipe,,,,,,,,Emergency Vehicle,Other,Parked Motor Vehicle,,No Pedestrian Involved,,
,1,,1,,,,,,,,1,,,,,,,,,,,,,5/21/2005,4:00 AM,05-3120,Sycamore Lane,North Davis Farms Road,600',South,VC .,Other,1,1.0,,,,,,Bicycle,,Other Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,1,,5/21/2005,6:35 PM,05-3135,L Street,Third Street,0',In Int.,VC 21802.A,Broadside,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,5/23/2005,2:01 PM,05-3178,El Cemonte Avenue,Swingle Drive,0',In Int.,VC 21801.A,Head-On,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,1,,,,,,,,,,,,,5/23/2005,10:00 PM,05-3187,W Covell Blvd,Sycamore Lane,0',In Int.,VC 21804.A,Other,1,1.0,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,,,,,,5/25/2005,6:50 AM,05-3207,Fifth Street,Cantrill Drive,400',East,VC 21801.A,Other,1,1.0,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,5/25/2005,7:42 AM,05-3208,E Covell Blvd,Mace Blvd,2250',West,VC 22350,Hit Object,1,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,1,,,,,,,,,,,,1,,,,,,,,,,,5/25/2005,7:11 PM,05-3228,Russell Blvd,Anderson Road,15',West,VC 21453.A,Other,1,1.0,,,,,,Bicycle,Passenger Car,Bicycle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,5/26/2005,12:23 PM,05-3248,Cowell Blvd,Lillard Drive,0',In Int.,VC .,Not Stated,,,,,,,,Not Stated,Not Stated,Other,,Not Stated,,
,,,1,,,,,,,,,,,,,,,,,,,,,5/27/2005,8:30 AM,05-3261,Lillard Drive,Cowell Blvd,200',East,VC .,Rear-End,,,,,,,,Passenger Car,Pickup Truck,Other Motor Vehicle,,Not Stated,,
,,,,,,,,,,,,,,,,,,,1,,,,,5/27/2005,3:30 PM,05-3262,Third Street,G Street,0',In Int.,VC .,Not Stated,,,,,,,,Passenger Car,Other,Not Stated,,Not Stated,,
,,,,,,,,,,,,,,,,,,,,,,,,5/27/2005,11:30 PM,05-3277,Cypress Lane,Claremont Drive,660',South,VC 22106,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,1,,,,,1,,,,,,,,,,1,,,,,5/28/2005,3:05 PM,05-3282,First Street,F Street,0',In Int.,VC 21658.A,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,1,1,,,,,,,,,,,,,,,1,5/31/2005,9:10 AM,05-3320,B Street,E Eighth Street,0',In Int.,VC 22107,Sideswipe,,,,,,,,Passenger Car,Other Bus,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,5/31/2005,12:24 PM,05-3326,Cowell Blvd,Research Park Drive (E),0',In Int.,VC 21802.A,Broadside,1,,,,,,,Passenger Car,Passenger Car,Motor Vehicle on Other Roadway,,No Pedestrian Involved,,
,,,,,,1,,,,,,,,,,,,,,,,1,,6/1/2005,8:29 AM,05-3343,Fifth Street,L Street,20',East,VC 22107,Sideswipe,,,,,,,,Other Bus,Other,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,6/1/2005,10:14 AM,05-3345,Oak Avenue,Russell Blvd,90',North,VC 22107,Broadside,,,,,,,,Pickup Truck,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,1,,,,,,,,,1,,,,,,,,6/1/2005,11:45 AM,05-3346,E Eighth Street,Pole Line Road,0',In Int.,VC 21801.A,Head-On,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,1,,,,,,,,,,,,1,,,6/1/2005,11:47 AM,05-3347,F Street,Sixth Street,0',In Int.,VC 21802.A,Broadside,2,2.0,,,,,,Motorcycle,Bicycle,Motor Vehicle on Other Roadway,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,5/11/2005,,05-3355,Cowell Blvd,Drew Avenue,150',West,VC .,Rear-End,,,,,,,,Passenger Car,Other,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,1,,,,,,,,,,,,,,,,,6/1/2005,4:55 PM,05-3359,W Eighth Street,Elmwood Drive,250',West,VC 22350,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,6/1/2005,5:10 PM,05-3360,Richards Blvd,Interstate 80 Wb,80',South,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,1,,,,,,1,,,,,1,,,,,,,,,,6/2/2005,2:11 PM,05-3379,F Street,W Covell Blvd,0',In Int.,VC 21453.A,Other,1,1.0,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,6/3/2005,8:50 AM,05-3393,Third Street,D Street,0',In Int.,VC 21802.A,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,1,,,,,,,,,,,,,,,,,,,6/3/2005,4:28 PM,05-3397,Mace Blvd,Second Street,0',In Int.,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,6/2/2005,,05-3400,Prado Lane,San Rafael Street,100',East,VC .,Broadside,,,,,,,,Pickup Truck,Other,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,1,,,,,,,,,,,,,,,,,,,6/3/2005,10:34 PM,05-3415,Second Street,Faraday Avenue (W),0',In Int.,VC 23152.A,Hit Object,1,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,6/4/2005,8:03 AM,05-3419,C Street,Fourth Street,20',North,VC 22350,Sideswipe,,,,,,,,Passenger Car,Truck,Parked Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,, ,1,,,,,,,,,,,6/7/2005,9:28 AM,05-3467,Anderson Road,W Covell Blvd,86',South,VC 22107,Other,1,1.0,,,,,,Bicycle,Pickup Truck,Bicycle,,No Pedestrian Involved,,
,1,,,,,,1,,,1,,,,,,,,,,,,,,6/7/2005,9:00 AM,05-3468,J Street,E Eighth Street,250',North,VC 22106,Other,1,1.0,,,,,,Bicycle,Passenger Car,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,6/7/2005,3:45 PM,05-3477,Chiles Road,Mace Blvd,2640',East,VC .,Broadside,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,1,,,,,,,,,1,,,,,,,,6/10/2005,1:34 PM,05-3530,E Eighth Street,Pole Line Road,0',In Int.,VC 21801.A,Head-On,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,1,,,,,,,,6/12/2005,4:40 PM,05-3561,Pole Line Road,Lehigh Drive,87',South,VC 23152.A,Rear-End,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,6/12/2005,7:25 PM,05-3564,Russell Blvd,Rt 113 Nboff/R,18',East,VC 21453.A,Head-On,2,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,6/14/2005,3:34 PM,05-3594,Russell Blvd,Highway 113 Nb,250',East,VC 22350,Rear-End,2,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,1,,,,,,,,,,,,,,,,1,,6/14/2005,5:48 PM,05-3597,L Street,Fifth Street,250',North,VC 22350,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,1,6/15/2005,3:16 PM,05-3608,Russell Blvd,Miller Drive,75',West,VC 22107,Sideswipe,,,,,,,,Pickup Truck,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,6/15/2005,3:52 PM,05-3610,Richards Blvd,Rt 80 Eboff/R,210',North,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,1,,,,,,,,6/16/2005,10:30 AM,05-3619,Pole Line Road,Fifth Street,792',North,VC 21460.A,Other,1,1.0,,,,,,Bicycle,Passenger Car,Bicycle,,No Pedestrian Involved,,
,,,1,,,,,,1,,,,,1,,,,,,,,,,6/15/2005,6:30 PM,05-3632,F Street,W Covell Blvd,12',North,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,6/16/2005,1:30 PM,05-3637,Richards Blvd,Interstate 80 Wb,0',In Int.,VC .,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,6/17/2005,3:23 AM,05-3647,Norte Avenue,Anza Avenue,10',East,VC .,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,1,,,,,,,,,,,,,,,,,6/17/2005,3:38 PM,05-3657,W Eighth Street,Douglass Avenue,33',West,VC 22105,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,6/17/2005,6:12 PM,05-3662,Mace Blvd,County Road 32a,10',South,VC 22106,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,6/17/2005,,05-3671,Drew Circle,Cowell Blvd,2112',South,VC .,Other,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,1,,,,,,,,,,6/18/2005,1:40 PM,05-3674,E Covell Blvd,Alhambra Drive,0',In Int.,VC 21453.A,Broadside,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,6/19/2005,2:22 AM,05-3691,Russell Blvd,Portage Bay East,0',In Int.,VC 23152.A,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,,,,,,6/20/2005,8:28 PM,05-3713,Sycamore Lane,Hawthorne Lane,0',In Int.,VC 21802.A,Other,1,1.0,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,1,,,,,6/21/2005,1:58 PM,05-3721,E Street,Third Street,25',North,VC 22106,Broadside,,,,,,,,Passenger Car,Motorized Bicycle,Other Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,1,,,,,,,,,,6/21/2005,7:58 PM,05-3725,E Covell Blvd,Birch Lane,15',East,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,1,,,,6/10/2005,6:10 PM,05-3733,Fourth Street,University Avenue,90',East,VC 22106,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,1,,,6/27/2005,1:20 PM,05-3835,D Street,Seventh Street,9',South,VC 22107,Sideswipe,,,,,,,,Passenger Car,Truck,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,1,,,,,,,,,,,,,,,,,6/27/2005,1:00 PM,05-3856,E Eighth Street,D Street,0',In Int.,VC .,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,1,,,,,,,,,,,,,,,,1,,6/26/2005,10:10 PM,05-3857,Fifth Street,L Street,0',In Int.,VC .,Sideswipe,,,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,6/29/2005,10:07 AM,05-3862,Third Street,D Street,0',In Int.,VC 21802.A,Broadside,2,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,,,,,,6/29/2005,6:30 PM,05-3888,Russell Blvd,Oak Avenue,0',In Int.,VC 21453.A,Other,1,1.0,,,,,,Bicycle,Other,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,1,,1,,,,,,,,7/1/2005,7:50 AM,05-3905,E Covell Blvd,Pole Line Road,300',West,VC 22350,Sideswipe,,,,,,,,Other,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,7/1/2005,,05-3912,Del Rio Place,Pena Drive,200',West,VC .,Rear-End,,,,,,,,Passenger Car,Not Stated,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,7/1/2005,3:00 AM,05-3915,Tulip Lane,Blackburn Drive (N),25',North,VC .,Sideswipe,,,,,,,,Pickup Truck,Not Stated,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,7/2/2005,3:30 AM,05-3919,Drake Drive,Sycamore Lane (N),90',West,VC 22107,Sideswipe,,,,,,,,Not Stated,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,7/2/2005,3:30 PM,05-3922,Russell Blvd,Arthur Street,0',In Int.,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,7/3/2005,9:00 PM,05-3940,G Street,Third Street,0',In Int.,VC .,Other,,,,,,,,Not Stated,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,7/7/2005,4:32 PM,05-3997,E Street,Fifth Street,0',In Int.,VC 21755,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
